Barris;Població;1;2;3;4;5;6;7;8;9;10;11;12
7     37. el Carmel  ;20.223  ;8,5  ;8,5  ;8,5  ;8,1  ;8,0  ;7,8  ;7,8  ;8,1  ;7,8  ;8,0  ;7,9  ;7,9  
7     38. la Teixonera  ;7.614  ;6,9  ;6,8  ;6,7  ;6,6  ;6,6  ;6,4  ;6,5  ;6,7  ;6,4  ;6,5  ;6,5  ;6,5  
7     39. Sant Genís dels Agudells  ;4.338  ;7,3  ;7,2  ;7,1  ;7,1  ;7,0  ;6,8  ;6,9  ;7,1  ;6,8  ;6,9  ;6,9  ;6,9  
7     40. Montbau  ;3.018  ;7,6  ;7,4  ;7,4  ;7,3  ;7,3  ;7,1  ;7,2  ;7,4  ;7,1  ;7,2  ;7,2  ;7,2  
7     41. la Vall d'Hebron  ;3.499  ;7,0  ;6,8  ;6,8  ;6,7  ;6,7  ;6,5  ;6,6  ;6,8  ;6,5  ;6,6  ;6,6  ;6,6  
7     42. la Clota  ;464  ;3,7  ;3,6  ;3,6  ;3,6  ;3,5  ;3,4  ;3,5  ;3,6  ;3,4  ;3,5  ;3,5  ;3,5  
7     43. Horta  ;16.500  ;8,8  ;8,7  ;8,9  ;8,5  ;8,3  ;8,1  ;8,0  ;8,2  ;8,0  ;8,2  ;8,2  ;8,1  
8     44. Vilapicina i la Torre Llobeta  ;15.978  ;8,5  ;8,4  ;8,5  ;8,1  ;7,9  ;7,7  ;7,5  ;7,7  ;7,6  ;7,8  ;7,8  ;7,8  
8     45. Porta  ;15.816  ;8,4  ;8,2  ;8,2  ;7,9  ;7,7  ;7,4  ;7,3  ;7,5  ;7,4  ;7,6  ;7,6  ;7,6  
8     46. el Turó de la Peira  ;9.892  ;8,5  ;8,5  ;8,6  ;8,3  ;8,1  ;7,9  ;7,6  ;7,8  ;7,7  ;7,9  ;8,0  ;7,9  
8     47. Can Peguera  ;1.408  ;8,4  ;8,4  ;8,4  ;8,1  ;7,9  ;7,7  ;7,5  ;7,7  ;7,6  ;7,8  ;7,8  ;7,7  
8     48. la Guineueta  ;8.874  ;11,0  ;10,9  ;10,8  ;10,6  ;10,4  ;10,0  ;9,9  ;10,1  ;9,9  ;10,2  ;10,1  ;10,0  
8     49. Canyelles  ;4.192  ;11,3  ;11,3  ;11,2  ;10,9  ;10,7  ;10,3  ;10,2  ;10,4  ;10,2  ;10,5  ;10,4  ;10,3  
8     50. les Roquetes  ;10.354  ;9,9  ;9,9  ;9,8  ;9,6  ;9,4  ;9,0  ;9,0  ;9,2  ;9,0  ;9,3  ;9,1  ;9,0  
8     51. Verdun  ;7.921  ;10,0  ;9,9  ;9,9  ;9,6  ;9,4  ;9,0  ;9,0  ;9,2  ;9,0  ;9,3  ;9,2  ;9,0  
8     52. la Prosperitat  ;16.301  ;9,1  ;8,9  ;8,9  ;8,6  ;8,4  ;8,1  ;7,9  ;8,2  ;8,1  ;8,2  ;8,3  ;8,2  
8     53. la Trinitat Nova  ;4.871  ;13,9  ;13,7  ;13,8  ;13,7  ;13,3  ;12,7  ;12,3  ;12,3  ;12,3  ;12,5  ;12,7  ;12,6  
8     54. Torre Baró  ;1.965  ;9,5  ;9,3  ;9,5  ;9,4  ;9,1  ;8,7  ;8,4  ;8,4  ;8,4  ;8,5  ;8,7  ;8,6  
8     55. Ciutat Meridiana  ;6.921  ;14,1  ;13,8  ;14,0  ;13,9  ;13,5  ;12,9  ;12,5  ;12,5  ;12,5  ;12,6  ;12,8  ;12,7  
8     56. Vallbona  ;877  ;12,9  ;12,7  ;12,9  ;12,8  ;12,4  ;11,9  ;11,4  ;11,4  ;11,4  ;11,6  ;11,8  ;11,7  
9     57. la Trinitat Vella  ;6.687  ;13,5  ;13,3  ;13,5  ;13,4  ;13,0  ;12,4  ;12,0  ;12,0  ;12,0  ;12,1  ;12,3  ;12,2  
9     58. Baró de Viver  ;1.675  ;7,3  ;7,2  ;7,3  ;7,1  ;6,9  ;6,7  ;6,7  ;7,1  ;6,9  ;6,9  ;6,8  ;6,7  
9     59. el Bon Pastor  ;8.151  ;8,5  ;8,4  ;8,5  ;8,2  ;8,1  ;7,9  ;7,8  ;8,3  ;8,0  ;8,1  ;7,9  ;7,8  
9     60. Sant Andreu  ;36.671  ;7,6  ;7,6  ;7,7  ;7,4  ;7,3  ;7,1  ;7,0  ;7,4  ;7,2  ;7,3  ;7,1  ;7,0  
9     61. la Sagrera  ;18.483  ;7,1  ;7,1  ;7,0  ;6,9  ;6,7  ;6,4  ;6,3  ;6,6  ;6,4  ;6,6  ;6,5  ;6,5  
9     62. el Congrés i els Indians  ;9.078  ;7,0  ;7,0  ;6,9  ;6,8  ;6,6  ;6,3  ;6,2  ;6,6  ;6,4  ;6,5  ;6,5  ;6,4  
9     63. Navas  ;14.065  ;7,0  ;7,0  ;6,9  ;6,8  ;6,6  ;6,3  ;6,2  ;6,5  ;6,4  ;6,5  ;6,5  ;6,4  
10     64. el Camp de l'Arpa del Clot  ;25.043  ;7,5  ;7,6  ;7,6  ;7,3  ;7,1  ;6,8  ;6,9  ;7,0  ;6,9  ;7,0  ;6,8  ;6,9  
10     65. el Clot  ;18.027  ;7,1  ;7,1  ;7,0  ;6,8  ;6,7  ;6,4  ;6,5  ;6,8  ;6,6  ;6,7  ;6,6  ;6,6  
10     66. el Parc i la Llacuna del Poblenou  ;10.425  ;6,0  ;5,9  ;5,8  ;5,6  ;5,6  ;5,4  ;5,5  ;5,8  ;5,6  ;5,7  ;5,6  ;5,5  
10     67. la Vila Olímpica del Poblenou  ;6.470  ;6,3  ;6,3  ;6,3  ;6,1  ;5,9  ;5,8  ;5,9  ;6,3  ;6,0  ;5,9  ;5,9  ;5,8  
10     68. el Poblenou  ;22.694  ;6,2  ;6,2  ;6,1  ;6,0  ;5,8  ;5,7  ;5,8  ;6,1  ;5,9  ;5,8  ;5,8  ;5,7  
10     69. Diagonal Mar i el Front Marítim del Poblenou  ;8.864  ;7,5  ;7,4  ;7,4  ;7,3  ;7,0  ;6,8  ;6,8  ;6,9  ;6,8  ;6,8  ;6,9  ;6,8  
10     70. el Besòs i el Maresme  ;15.685  ;9,8  ;9,6  ;9,6  ;9,5  ;9,1  ;8,9  ;8,8  ;8,8  ;8,8  ;8,9  ;8,9  ;8,8  
10     71. Provençals del Poblenou  ;13.932  ;7,4  ;7,3  ;7,2  ;7,0  ;6,9  ;6,7  ;6,7  ;6,9  ;6,8  ;6,9  ;6,8  ;6,7  
10     72. Sant Martí de Provençals  ;16.071  ;9,0  ;8,9  ;8,9  ;8,6  ;8,4  ;8,2  ;8,0  ;8,3  ;8,3  ;8,4  ;8,1  ;8,1  
10     73. la Verneda i la Pau  ;17.461  ;9,4  ;9,3  ;9,3  ;9,0  ;8,8  ;8,5  ;8,4  ;8,6  ;8,6  ;8,7  ;8,5  ;8,4  
